ATP_competition,year,date,conditions,href,player1_link,player2_link,player1_name,player2_name,player1_conditions,player2_conditions,player1_score,player2_score,player1_odds,player2_odds,set_time,Date and time,Competition,Venue,Location,Ground type,player1_Service_Aces,player2_Service_Aces,player1_Service_Double faults,player2_Service_Double faults,player1_Service_First serve,player2_Service_First serve,player1_Service_Second serve,player2_Service_Second serve,player1_Service_First serve points,player2_Service_First serve points,player1_Service_Second serve points,player2_Service_Second serve points,player1_Service_Service games played,player2_Service_Service games played,player1_Service_Break points saved,player2_Service_Break points saved,player1_Points_Total,player2_Points_Total,player1_Points_Service points won,player2_Points_Service points won,player1_Points_Receiver points won,player2_Points_Receiver points won,player1_Points_Max points in a row,player2_Points_Max points in a row,player1_Games_Total,player2_Games_Total,player1_Games_Service games won,player2_Games_Service games won,player1_Games_Max games in a row,player2_Games_Max games in a row,player1_Return_First serve return points,player2_Return_First serve return points,player1_Return_Second serve return points,player2_Return_Second serve return points,player1_Return_Return games played,player2_Return_Return games played,player1_Return_Break points converted,player2_Return_Break points converted,player1_Miscellaneous_Tiebreaks,player2_Miscellaneous_Tiebreaks
Auckland,2025,2025-11-01,FT,https://www.sofascore.com/tennis/match/zizou-bergs-gael-monfils/UWfsWttb#id:13293225,https://www.sofascore.com/team/tennis/bergs-zizou/170946,https://www.sofascore.com/team/tennis/monfils-gael/14844,Z. Bergs,G. Monfils,Q,,"['3', '4', '0']","['6', '6', '2']",2.5,1.53,"['2nd set • 48m', '1st set • 39m']",11/01/202501:00,"Tennis, ATP 250, Auckland, New Zealand, Final",Centre Court,"Auckland, New Zealand",Outdoor hard,2.0,4.0,3.0,4.0,43/64 (67%),36/60 (60%),18/21 (86%),20/24 (83%),31/43 (72%),30/36 (83%),9/21 (43%),14/24 (58%),9.0,10.0,3/5 (60%),5/5 (100%),56.0,68.0,40.0,44.0,16.0,24.0,7.0,7.0,7.0,12.0,7.0,8.0,3.0,5.0,6/36 (16%),12/43 (27%),10/24 (41%),12/21 (57%),10.0,9.0,0.0,2.0,0.0,0.0
Auckland,2025,2025-10-01,FT,https://www.sofascore.com/tennis/match/zizou-bergs-nuno-borges/gaabsWttb#id:13293224,https://www.sofascore.com/team/tennis/borges-nuno/125006,https://www.sofascore.com/team/tennis/bergs-zizou/170946,N. Borges,Z. Bergs,7,Q,"['2', '6', '5', '1']","['6', '3', '7', '2']",1.91,1.91,"['3rd set • 52m', '2nd set • 50m', '1st set • 32m']",10/01/202502:05,"Tennis, ATP 250, Auckland, New Zealand, Semifinals",Centre Court,"Auckland, New Zealand",Outdoor hard,0.0,6.0,2.0,1.0,58/94 (62%),48/87 (55%),34/36 (94%),38/39 (97%),34/58 (59%),31/48 (65%),19/36 (53%),20/39 (51%),15.0,14.0,7/13 (53%),4/8 (50%),89.0,92.0,53.0,51.0,36.0,41.0,6.0,5.0,13.0,16.0,8.0,8.0,5.0,5.0,17/48 (35%),24/58 (41%),19/39 (48%),17/36 (47%),14.0,15.0,4.0,6.0,0.0,0.0
Auckland,2025,2025-10-01,FT,https://www.sofascore.com/tennis/match/nishesh-basavareddy-gael-monfils/UWfsoTmd#id:13293223,https://www.sofascore.com/team/tennis/monfils-gael/14844,https://www.sofascore.com/team/tennis/basavareddy-nishesh/407164,G. Monfils,N. Basavareddy,,Q,"['7', '6', '2']","['6', '4', '0']",1.67,2.2,"['2nd set • 46m', '1st set • 1h 0m']",10/01/202500:00,"Tennis, ATP 250, Auckland, New Zealand, Semifinals",Centre Court,"Auckland, New Zealand",Outdoor hard,7.0,3.0,2.0,0.0,49/88 (56%),38/59 (64%),37/39 (95%),21/21 (100%),37/49 (76%),27/38 (71%),21/39 (54%),17/21 (81%),11.0,11.0,5/5 (100%),1/2 (50%),73.0,74.0,58.0,44.0,15.0,30.0,5.0,5.0,13.0,10.0,11.0,9.0,3.0,2.0,11/38 (28%),12/49 (24%),4/21 (19%),18/39 (46%),11.0,11.0,1.0,0.0,0.0,0.0
Auckland,2025,2025-09-01,FT,https://www.sofascore.com/tennis/match/jakub-mensik-nuno-borges/gaabsmWYc#id:13293213,https://www.sofascore.com/team/tennis/mensik-jakub/372312,https://www.sofascore.com/team/tennis/borges-nuno/125006,J. Mensik,N. Borges,,7,"['7', '2', '6', '1']","['6', '6', '7', '2']",1.44,2.75,"['3rd set • 1h 0m', '2nd set • 32m', '1st set • 54m']",09/01/202505:30,"Tennis, ATP 250, Auckland, New Zealand, Quarterfinals",Centre Court,"Auckland, New Zealand",Outdoor hard,17.0,5.0,9.0,0.0,73/118 (62%),75/104 (72%),36/45 (80%),29/29 (100%),54/73 (74%),53/75 (71%),19/45 (42%),16/29 (55%),16.0,16.0,4/8 (50%),3/5 (60%),108.0,114.0,73.0,69.0,35.0,45.0,5.0,7.0,15.0,19.0,12.0,14.0,3.0,4.0,22/75 (29%),19/73 (26%),13/29 (44%),26/45 (57%),16.0,16.0,2.0,4.0,0.0,2.0
Auckland,2025,2025-09-01,FT,https://www.sofascore.com/tennis/match/zizou-bergs-roberto-carballes-baena/QxvsWttb#id:13293221,https://www.sofascore.com/team/tennis/carballes-baena-roberto/51141,https://www.sofascore.com/team/tennis/bergs-zizou/170946,R. Carballés Baena,Z. Bergs,,Q,"['6', '2', '3', '1']","['1', '6', '6', '2']",2.3,1.62,"['3rd set • 45m', '2nd set • 37m', '1st set • 29m']",09/01/202502:05,"Tennis, ATP 250, Auckland, New Zealand, Quarterfinals",Centre Court,"Auckland, New Zealand",Outdoor hard,2.0,2.0,4.0,2.0,46/74 (62%),40/65 (62%),24/28 (86%),23/25 (92%),33/46 (72%),27/40 (68%),7/28 (25%),12/25 (48%),12.0,12.0,6/10 (60%),1/4 (25%),66.0,73.0,40.0,39.0,26.0,34.0,8.0,11.0,11.0,13.0,9.0,9.0,4.0,6.0,13/40 (32%),13/46 (28%),13/25 (52%),21/28 (75%),12.0,12.0,3.0,4.0,0.0,0.0
Auckland,2025,2025-09-01,FT,https://www.sofascore.com/tennis/match/facundo-diaz-acosta-gael-monfils/UWfsxMfc#id:13293216,https://www.sofascore.com/team/tennis/monfils-gael/14844,https://www.sofascore.com/team/tennis/diaz-acosta-facundo/264372,G. Monfils,F. D. Acosta,,LL,"['6', '6', '2']","['3', '1', '0']",1.3,3.5,"['2nd set • 40m', '1st set • 37m']",09/01/202500:30,"Tennis, ATP 250, Auckland, New Zealand, Quarterfinals",Centre Court,"Auckland, New Zealand",Outdoor hard,4.0,0.0,1.0,1.0,34/52 (65%),40/60 (67%),17/18 (94%),19/20 (95%),28/34 (82%),25/40 (63%),7/18 (39%),7/20 (35%),8.0,8.0,3/3 (100%),4/8 (50%),63.0,49.0,35.0,32.0,28.0,17.0,6.0,4.0,12.0,4.0,8.0,4.0,5.0,1.0,15/40 (37%),6/34 (17%),13/20 (65%),11/18 (61%),8.0,8.0,4.0,0.0,0.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/nishesh-basavareddy-alex-michelsen/DJmdsoTmd#id:13293212,https://www.sofascore.com/team/tennis/michelsen-alex/406728,https://www.sofascore.com/team/tennis/basavareddy-nishesh/407164,A. Michelsen,N. Basavareddy,8,Q,"['6', '2', '4', '1']","['2', '6', '6', '2']",1.53,2.5,"['3rd set • 41m', '2nd set • 31m', '1st set • 29m']",08/01/202522:30,"Tennis, ATP 250, Auckland, New Zealand, Quarterfinals",Centre Court,"Auckland, New Zealand",Outdoor hard,5.0,4.0,2.0,2.0,46/73 (63%),46/79 (58%),25/27 (93%),31/33 (94%),36/46 (78%),37/46 (80%),9/27 (33%),17/33 (52%),13.0,13.0,3/6 (50%),4/6 (66%),70.0,82.0,45.0,54.0,25.0,28.0,7.0,11.0,12.0,14.0,10.0,11.0,3.0,3.0,9/46 (19%),10/46 (21%),16/33 (48%),18/27 (66%),13.0,13.0,2.0,3.0,0.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/ben-shelton-jakub-mensik/mWYcsKjed#id:13293215,https://www.sofascore.com/team/tennis/shelton-ben/385485,https://www.sofascore.com/team/tennis/mensik-jakub/372312,B. Shelton,J. Mensik,1,,"['6', '6', '5', '1']","['7', '4', '7', '2']",1.73,2.1,"['3rd set • 57m', '2nd set • 44m', '1st set • 56m']",08/01/202507:20,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Centre Court,"Auckland, New Zealand",Outdoor hard,7.0,10.0,2.0,7.0,88/127 (69%),72/119 (61%),37/39 (95%),40/47 (85%),55/88 (63%),58/72 (81%),26/39 (67%),24/47 (51%),17.0,17.0,7/8 (87%),5/6 (83%),118.0,128.0,81.0,82.0,37.0,46.0,5.0,7.0,17.0,18.0,15.0,18.0,4.0,4.0,14/72 (19%),33/88 (37%),23/47 (48%),13/39 (33%),17.0,17.0,1.0,1.0,0.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/mariano-navone-nuno-borges/gaabsOCic#id:13293218,https://www.sofascore.com/team/tennis/navone-mariano/271389,https://www.sofascore.com/team/tennis/borges-nuno/125006,M. Navone,N. Borges,,7,"['6', '5', '4', '1']","['4', '7', '6', '2']",3.0,1.4,"['3rd set • 53m', '2nd set • 2h 48m', '1st set • 39m']",08/01/202504:10,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Grandstand,"Auckland, New Zealand",Outdoor hard,4.0,6.0,3.0,0.0,64/102 (63%),75/111 (68%),35/38 (92%),36/36 (100%),41/64 (64%),47/75 (63%),20/38 (53%),19/36 (53%),16.0,16.0,5/8 (62%),2/3 (66%),106.0,107.0,61.0,66.0,45.0,41.0,7.0,6.0,15.0,17.0,8.0,5.0,3.0,3.0,28/75 (37%),23/64 (35%),17/36 (47%),18/38 (47%),16.0,16.0,1.0,3.0,0.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/jan-lennard-struff-gael-monfils/UWfsQCt#id:13293220,https://www.sofascore.com/team/tennis/struff-jan-lennard/46391,https://www.sofascore.com/team/tennis/monfils-gael/14844,J. Struff,G. Monfils,,,"['1', '6', '0']","['6', '7', '2']",1.67,2.2,"['2nd set • 51m', '1st set • 25m']",08/01/202503:40,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Centre Court,"Auckland, New Zealand",Outdoor hard,5.0,14.0,2.0,4.0,28/56 (50%),41/62 (66%),26/28 (93%),17/21 (81%),20/28 (71%),37/41 (90%),16/28 (57%),10/21 (48%),9.0,10.0,,,51.0,67.0,36.0,47.0,15.0,20.0,4.0,5.0,7.0,13.0,1.0,64.0,4.0,5.0,4/41 (9%),8/28 (28%),11/21 (52%),12/28 (42%),10.0,9.0,0.0,0.0,0.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/francisco-cerundolo-roberto-carballes-baena/QxvsmvNb#id:13293210,https://www.sofascore.com/team/tennis/cerundolo-francisco/221012,https://www.sofascore.com/team/tennis/carballes-baena-roberto/51141,F. Cerundolo,R. Carballés Baena,4,,"['2', '5', '0']","['6', '7', '2']",1.5,2.63,"['2nd set • 50m', '1st set • 40m']",08/01/202502:20,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Grandstand,"Auckland, New Zealand",Outdoor hard,6.0,3.0,3.0,0.0,35/59 (59%),51/69 (74%),21/24 (88%),18/18 (100%),24/35 (69%),37/51 (73%),12/24 (50%),11/18 (61%),10.0,10.0,2/5 (40%),2/2 (100%),57.0,71.0,36.0,48.0,21.0,23.0,6.0,5.0,7.0,13.0,7.0,11.0,1.0,5.0,14/51 (27%),11/35 (31%),7/18 (38%),12/24 (50%),10.0,10.0,0.0,3.0,0.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/facundo-diaz-acosta-sebastian-baez/gLNbsxMfc#id:13293219,https://www.sofascore.com/team/tennis/diaz-acosta-facundo/264372,https://www.sofascore.com/team/tennis/baez-sebastian/221806,F. D. Acosta,S. Báez,LL,3,"['6', '7', '2']","['4', '6', '0']",1.8,2.0,"['2nd set • 1h 6m', '1st set • 1h 2m']",08/01/202501:10,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Centre Court,"Auckland, New Zealand",Outdoor hard,4.0,1.0,5.0,1.0,47/79 (59%),50/75 (67%),27/32 (84%),24/25 (96%),33/47 (70%),31/50 (62%),17/32 (53%),12/25 (48%),11.0,11.0,4/6 (66%),2/5 (40%),82.0,72.0,50.0,43.0,32.0,29.0,8.0,5.0,13.0,10.0,5.0,10.0,3.0,3.0,19/50 (38%),14/47 (29%),13/25 (52%),15/32 (46%),11.0,11.0,3.0,2.0,2.0,0.0
Auckland,2025,2025-08-01,FT,https://www.sofascore.com/tennis/match/alex-michelsen-lorenzo-sonego/XWQsDJmd#id:13293211,https://www.sofascore.com/team/tennis/michelsen-alex/406728,https://www.sofascore.com/team/tennis/sonego-lorenzo/104847,A. Michelsen,L. Sonego,8,,"['7', '6', '2']","['6', '2', '0']",1.57,2.38,"['2nd set • 45m', '1st set • 1h 10m']",08/01/202500:10,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Grandstand,"Auckland, New Zealand",Outdoor hard,1.0,6.0,2.0,1.0,51/70 (73%),72/89 (81%),17/19 (89%),16/17 (94%),40/51 (78%),45/72 (63%),10/19 (53%),8/17 (47%),10.0,10.0,3/3 (100%),8/9 (88%),86.0,73.0,50.0,53.0,36.0,20.0,5.0,6.0,13.0,8.0,8.0,12.0,3.0,3.0,27/72 (37%),11/51 (21%),9/17 (52%),9/19 (47%),10.0,10.0,1.0,0.0,0.0,0.0
Auckland,2025,2025-07-01,FT,https://www.sofascore.com/tennis/match/luca-nardi-zizou-bergs/WttbsIJpc#id:13293214,https://www.sofascore.com/team/tennis/bergs-zizou/170946,https://www.sofascore.com/team/tennis/nardi-luca/289233,Z. Bergs,L. Nardi,Q,Q,"['6', '6', '2']","['1', '4', '0']",1.62,2.3,"['2nd set • 50m', '1st set • 30m']",07/01/202522:30,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Grandstand,"Auckland, New Zealand",Outdoor hard,7.0,3.0,2.0,6.0,27/47 (57%),34/69 (49%),18/20 (90%),29/35 (83%),22/27 (81%),19/34 (56%),11/20 (55%),13/35 (37%),9.0,8.0,3/5 (60%),7/12 (58%),70.0,46.0,33.0,32.0,37.0,14.0,7.0,5.0,12.0,5.0,4.0,2.0,5.0,2.0,15/34 (44%),5/27 (18%),22/35 (62%),9/20 (45%),8.0,9.0,5.0,2.0,0.0,0.0
Auckland,2025,2025-07-01,FT,https://www.sofascore.com/tennis/match/nishesh-basavareddy-alejandro-tabilo/bTPsoTmd#id:13293217,https://www.sofascore.com/team/tennis/basavareddy-nishesh/407164,https://www.sofascore.com/team/tennis/tabilo-alejandro/102151,N. Basavareddy,A. Tabilo,Q,2,"['6', '5', '6', '2']","['4', '7', '4', '1']",1.8,2.0,"['3rd set • 50m', '2nd set • 44m', '1st set • 48m']",07/01/202522:30,"Tennis, ATP 250, Auckland, New Zealand, Round of 16",Centre Court,"Auckland, New Zealand",Outdoor hard,9.0,12.0,2.0,2.0,68/99 (69%),74/108 (69%),29/31 (94%),32/34 (94%),50/68 (74%),53/74 (72%),17/31 (55%),18/34 (53%),16.0,16.0,5/6 (83%),10/12 (83%),104.0,103.0,67.0,71.0,37.0,32.0,7.0,10.0,17.0,15.0,11.0,13.0,3.0,4.0,21/74 (28%),18/68 (26%),16/34 (47%),14/31 (45%),16.0,16.0,2.0,1.0,0.0,0.0
Auckland,2025,2025-07-01,FT,https://www.sofascore.com/tennis/match/jakub-mensik-carreno-busta-pablo/aqqsmWYc#id:13305563,https://www.sofascore.com/team/tennis/carreno-busta-pablo/40800,https://www.sofascore.com/team/tennis/mensik-jakub/372312,P. Carreño Busta,J. Mensik,LL,,"['2', '6', '5', '1']","['6', '4', '7', '2']",4.0,1.25,"['3rd set • 51m', '2nd set • 38m', '1st set • 41m']",07/01/202505:30,"Tennis, ATP 250, Auckland, New Zealand, Round of 32",Centre Court,"Auckland, New Zealand",Outdoor hard,3.0,18.0,3.0,2.0,64/100 (64%),55/88 (63%),33/36 (92%),31/33 (94%),45/64 (70%),45/55 (82%),17/36 (47%),18/33 (55%),15.0,15.0,3/6 (50%),0/1 (0%),87.0,101.0,62.0,63.0,25.0,38.0,4.0,6.0,13.0,17.0,10.0,13.0,3.0,3.0,10/55 (18%),19/64 (29%),15/33 (45%),19/36 (52%),15.0,15.0,1.0,3.0,0.0,0.0
Auckland,2025,2025-07-01,Canceled,https://www.sofascore.com/tennis/match/jakub-mensik-alexandre-muller/REKsmWYc#id:13298140,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland,2025,2025-07-01,FT,https://www.sofascore.com/tennis/match/nishesh-basavareddy-francisco-comesana/viccsoTmd#id:13300694,https://www.sofascore.com/team/tennis/basavareddy-nishesh/407164,https://www.sofascore.com/team/tennis/comesana-francisco/255420,N. Basavareddy,F. Comesaña,Q,LL,"['6', '6', '2']","['2', '2', '0']",1.22,4.33,"['2nd set • 38m', '1st set • 30m']",07/01/202501:55,"Tennis, ATP 250, Auckland, New Zealand, Round of 32",Court 2,"Auckland, New Zealand",Outdoor hard,6.0,6.0,0.0,2.0,38/51 (75%),35/52 (67%),13/13 (100%),15/17 (88%),26/38 (68%),19/35 (54%),10/13 (77%),7/17 (41%),8.0,8.0,1/1 (100%),4/7 (57%),62.0,41.0,36.0,26.0,26.0,15.0,10.0,4.0,12.0,4.0,5.0,5.0,5.0,3.0,16/35 (45%),12/38 (31%),10/17 (58%),3/13 (23%),8.0,8.0,3.0,0.0,0.0,0.0
Auckland,2025,2025-07-01,FT,https://www.sofascore.com/tennis/match/yunchaokete-bu-jan-lennard-struff/QCtsCJbc#id:13300688,https://www.sofascore.com/team/tennis/struff-jan-lennard/46391,https://www.sofascore.com/team/tennis/bu-yunchaokete/254227,J. Struff,Y. Bu,,,"['6', '6', '2']","['3', '4', '0']",1.8,2.0,"['2nd set • 42m', '1st set • 39m']",07/01/202501:45,"Tennis, ATP 250, Auckland, New Zealand, Round of 32",Grandstand,"Auckland, New Zealand",Outdoor hard,13.0,6.0,1.0,1.0,32/50 (64%),46/73 (63%),17/18 (94%),26/27 (96%),27/32 (84%),29/46 (63%),11/18 (61%),11/27 (41%),10.0,9.0,0/1 (0%),8/11 (72%),71.0,52.0,38.0,40.0,33.0,12.0,6.0,5.0,12.0,7.0,9.0,5.0,4.0,2.0,17/46 (36%),5/32 (15%),16/27 (59%),7/18 (38%),9.0,10.0,3.0,1.0,0.0,0.0
