short_name,player_link,Profile_Full name,Profile_Country,Profile_Residence,Profile_Birthplace,Profile_Age,Profile_Height,Profile_Plays,Profile_Turned pro,ATP_Career High,ATP_Current Rank,Prize Money_This year,Prize Money_Career total
Z. Bergs,https://www.sofascore.com/team/tennis/bergs-zizou/170946,Zizou Bergs,BEL,"Neerpelt, Belgium","Lommel, Belgium",26 (3 Jun 1999),185 cm,Right-handed,2017.0,49,50. (1079 pts),599K €,1.9M €
G. Monfils,https://www.sofascore.com/team/tennis/monfils-gael/14844,Gael Monfils,FRA,Switzerland,"Paris, France",38 (1 Sept 1986),193 cm,Right-handed,2004.0,6,48. (1165 pts),727K €,21M €
N. Borges,https://www.sofascore.com/team/tennis/borges-nuno/125006,Nuno Borges,POR,Portugal,"Maia, Portugal",28 (19 Feb 1997),185 cm,Right-handed,,30,37. (1400 pts),738K €,3.1M €
N. Basavareddy,https://www.sofascore.com/team/tennis/basavareddy-nishesh/407164,Nishesh Basavareddy,USA,,Newport Beach,20 (2 May 2005),180 cm,Right-handed,,99,100. (595 pts),215K €,497K €
J. Mensik,https://www.sofascore.com/team/tennis/mensik-jakub/372312,Jakub Mensik,CZE,,Prostejov,19 (1 Sept 2005),196 cm,Right-handed,,17,17. (2356 pts),1.7M €,3.1M €
R. Carballés Baena,https://www.sofascore.com/team/tennis/carballes-baena-roberto/51141,Roberto Carballés Baena,ESP,"Granada, Spain","Tenerife, Spain",32 (23 Mar 1993),183 cm,Right-handed,2011.0,49,74. (849 pts),366K €,5M €
F. D. Acosta,https://www.sofascore.com/team/tennis/diaz-acosta-facundo/264372,Facundo Diaz Acosta,ARG,Buenos Aires,"Buenos Aires, Argentina",24 (15 Dec 2000),183 cm,Left-handed,,47,199. (277 pts),155K €,1.2M €
A. Michelsen,https://www.sofascore.com/team/tennis/michelsen-alex/406728,Alex Michelsen,USA,,"Laguna Hills, CA, USA",20 (25 Aug 2004),193 cm,Right-handed,,32,32. (1670 pts),727K €,2.6M €
B. Shelton,https://www.sofascore.com/team/tennis/shelton-ben/385485,Ben Shelton,USA,,"Atlanta, GA, USA",22 (9 Oct 2002),193 cm,Left-handed,,10,10. (3130 pts),1.6M €,6.4M €
M. Navone,https://www.sofascore.com/team/tennis/navone-mariano/271389,Mariano Navone,ARG,,9 de julio,24 (27 Feb 2001),178 cm,Right-handed,,29,91. (670 pts),512K €,1.7M €
J. Struff,https://www.sofascore.com/team/tennis/struff-jan-lennard/46391,Jan-Lennard Struff,GER,"Warstein, Germany","Warstein, Germany",35 (25 Apr 1990),193 cm,Right-handed,2009.0,21,125. (475 pts),410K €,10M €
F. Cerundolo,https://www.sofascore.com/team/tennis/cerundolo-francisco/221012,Francisco Cerundolo,ARG,"Argentina, Buenos Aires","Buenos Aires, Argentina",26 (13 Aug 1998),185 cm,Right-handed,,18,19. (2285 pts),1.3M €,6.6M €
S. Báez,https://www.sofascore.com/team/tennis/baez-sebastian/221806,Sebastián Báez,ARG,Buenos Aires,"Buenos Aires, Argentina",24 (28 Dec 2000),170 cm,Right-handed,,18,38. (1370 pts),865K €,4.7M €
L. Sonego,https://www.sofascore.com/team/tennis/sonego-lorenzo/104847,Lorenzo Sonego,ITA,"Turin, Italy","Turin, Italy",30 (11 May 1995),191 cm,Right-handed,2013.0,21,47. (1171 pts),711K €,6.8M €
L. Nardi,https://www.sofascore.com/team/tennis/nardi-luca/289233,Luca Nardi,ITA,,Pesaro,21 (6 Aug 2003),185 cm,Right-handed,,67,95. (655 pts),382K €,1.5M €
A. Tabilo,https://www.sofascore.com/team/tennis/tabilo-alejandro/102151,Alejandro Tabilo,CHI,"Huechuraba, Santiago, Chile","Toronto, Canada",28 (2 Jun 1997),188 cm,Left-handed,2015.0,19,84. (705 pts),444K €,3.4M €
